drug_name,ndcnum
ciprofloxacin,33261039930
ciprofloxacin,33261039960
ciprofloxacin,33261061401
ciprofloxacin,33261091001
ciprofloxacin,33358008001
ciprofloxacin,33358008006
ciprofloxacin,33358008101
ciprofloxacin,33358008106
ciprofloxacin,33358008110
ciprofloxacin,33358008114
ciprofloxacin,33358008120
ciprofloxacin,33358008128
ciprofloxacin,33358008130
ciprofloxacin,33358008160
ciprofloxacin,35356026410
ciprofloxacin,35356043516
ciprofloxacin,35356052710
ciprofloxacin,35356073206
ciprofloxacin,35356073210
ciprofloxacin,35356073214
ciprofloxacin,35356073220
ciprofloxacin,35356073230
ciprofloxacin,35356073330
ciprofloxacin,35356080310
ciprofloxacin,35356084606
ciprofloxacin,35356084610
ciprofloxacin,35356084614
ciprofloxacin,35356084620
ciprofloxacin,35356084630
ciprofloxacin,35356092806
ciprofloxacin,35356092810
ciprofloxacin,35356092814
ciprofloxacin,36000000824
ciprofloxacin,36000000924
ciprofloxacin,36000001001
ciprofloxacin,36000001101
ciprofloxacin,38779053405
ciprofloxacin,38779053408
ciprofloxacin,38779053409
ciprofloxacin,38779232305
ciprofloxacin,38779232308
ciprofloxacin,38779232309
ciprofloxacin,40042001505
ciprofloxacin,40042001510
ciprofloxacin,40042001552
ciprofloxacin,42195055014
ciprofloxacin,42254012205
ciprofloxacin,42254012210
ciprofloxacin,42254012225
ciprofloxacin,42291021901
ciprofloxacin,42549050710
ciprofloxacin,42549050730
ciprofloxacin,42549050740
ciprofloxacin,42549059810
ciprofloxacin,43063005304
ciprofloxacin,43063005306
ciprofloxacin,43063041006
ciprofloxacin,43063041010
ciprofloxacin,43063041012
ciprofloxacin,43063041014
ciprofloxacin,43063042703
ciprofloxacin,43063042704
ciprofloxacin,43063042706
ciprofloxacin,43063042710
ciprofloxacin,43063042714
ciprofloxacin,43063042720
ciprofloxacin,43063042728
ciprofloxacin,43063042730
ciprofloxacin,43063042779
ciprofloxacin,43063054702
ciprofloxacin,43063054703
ciprofloxacin,43063054704
ciprofloxacin,43063054706
ciprofloxacin,43063054710
ciprofloxacin,43063054714
ciprofloxacin,43063054720
ciprofloxacin,43063054730
ciprofloxacin,43063054779
ciprofloxacin,43063076728
ciprofloxacin,45865044030
ciprofloxacin,45865044051
ciprofloxacin,45865044060
ciprofloxacin,45865044090
ciprofloxacin,45865047130
ciprofloxacin,45865047151
ciprofloxacin,45865047160
ciprofloxacin,45865047190
ciprofloxacin,45865053030
ciprofloxacin,45865053051
